uwi,event_date,event_type,horizon,field,effect,description
WELL_014,2023-09-06,Well intervention,B2,Central,0.0,Well intervention for well WELL_014 on horizon B2
WELL_014,2023-02-10,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_014 on horizon B2
WELL_015,2024-10-11,Optimization,B3,North,0.0,Optimization for well WELL_015 on horizon B3
WELL_015,2023-03-14,Hydraulic fracturing,B3,North,2.61,Hydraulic fracturing for well WELL_015 on horizon B3
WELL_015,2024-02-01,Well intervention,B3,North,0.0,Well intervention for well WELL_015 on horizon B3
WELL_016,2024-12-25,Change of horizon,C1,South,0.0,Change of horizon for well WELL_016 on horizon C1
WELL_016,2024-03-27,Optimization,C1,South,0.0,Optimization for well WELL_016 on horizon C1
WELL_016,2023-08-12,Treatment of the near-well zone,C1,South,1.91,Treatment of the near-well zone for well WELL_016 on horizon C1
WELL_016,2023-07-18,Treatment of the near-well zone,C1,South,2.59,Treatment of the near-well zone for well WELL_016 on horizon C1
WELL_016,2023-09-06,Well intervention,C1,South,0.0,Well intervention for well WELL_016 on horizon C1
WELL_017,2024-03-26,Change of horizon,C2,West,0.0,Change of horizon for well WELL_017 on horizon C2
WELL_017,2024-06-14,Pump replacement,C2,West,0.0,Pump replacement for well WELL_017 on horizon C2
WELL_017,2023-06-28,Change of horizon,C2,West,0.0,Change of horizon for well WELL_017 on horizon C2
WELL_018,2023-02-13,Pump replacement,D1,East,0.0,Pump replacement for well WELL_018 on horizon D1
WELL_018,2023-10-07,Optimization,D1,East,0.0,Optimization for well WELL_018 on horizon D1
WELL_018,2024-03-02,Change of horizon,D1,East,0.0,Change of horizon for well WELL_018 on horizon D1
WELL_019,2023-11-03,Workover,D2,Central,1.27,Workover for well WELL_019 on horizon D2
WELL_019,2023-08-10,Treatment of the near-well zone,D2,Central,1.43,Treatment of the near-well zone for well WELL_019 on horizon D2
WELL_019,2024-04-23,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_019 on horizon D2
WELL_019,2023-08-15,Optimization,D2,Central,0.0,Optimization for well WELL_019 on horizon D2
WELL_022,2023-02-10,Hydraulic fracturing,A3,West,1.75,Hydraulic fracturing for well WELL_022 on horizon A3
WELL_022,2024-01-02,Hydraulic fracturing,A3,West,1.03,Hydraulic fracturing for well WELL_022 on horizon A3
WELL_022,2023-07-26,Workover,A3,West,1.26,Workover for well WELL_022 on horizon A3
WELL_023,2024-06-26,Hydraulic fracturing,B1,East,2.4,Hydraulic fracturing for well WELL_023 on horizon B1
WELL_024,2024-09-23,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_024 on horizon B2
WELL_024,2025-02-12,Hydraulic fracturing,B2,Central,2.29,Hydraulic fracturing for well WELL_024 on horizon B2
WELL_025,2023-11-22,Hydraulic fracturing,B3,North,1.3,Hydraulic fracturing for well WELL_025 on horizon B3
WELL_025,2025-01-23,Optimization,B3,North,0.0,Optimization for well WELL_025 on horizon B3
WELL_026,2023-12-10,Change of horizon,C1,South,0.0,Change of horizon for well WELL_026 on horizon C1
WELL_027,2024-06-03,Workover,C2,West,1.91,Workover for well WELL_027 on horizon C2
WELL_027,2024-07-20,Well intervention,C2,West,0.0,Well intervention for well WELL_027 on horizon C2
WELL_027,2024-01-30,Workover,C2,West,2.88,Workover for well WELL_027 on horizon C2
WELL_027,2023-10-09,Optimization,C2,West,0.0,Optimization for well WELL_027 on horizon C2
WELL_028,2024-08-26,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_028 on horizon D1
WELL_028,2024-03-18,Change of horizon,D1,East,0.0,Change of horizon for well WELL_028 on horizon D1
WELL_028,2023-06-28,Workover,D1,East,1.7,Workover for well WELL_028 on horizon D1
WELL_029,2023-11-20,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_029 on horizon D2
WELL_029,2023-02-03,Hydraulic fracturing,D2,Central,1.57,Hydraulic fracturing for well WELL_029 on horizon D2
WELL_029,2024-09-16,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_029 on horizon D2
WELL_030,2023-10-21,Pump replacement,A1,North,0.0,Pump replacement for well WELL_030 on horizon A1
WELL_030,2025-01-11,Workover,A1,North,2.86,Workover for well WELL_030 on horizon A1
WELL_030,2023-12-05,Treatment of the near-well zone,A1,North,1.58,Treatment of the near-well zone for well WELL_030 on horizon A1
WELL_030,2024-04-19,Hydraulic fracturing,A1,North,2.2,Hydraulic fracturing for well WELL_030 on horizon A1
WELL_032,2024-03-18,Treatment of the near-well zone,A3,West,1.89,Treatment of the near-well zone for well WELL_032 on horizon A3
WELL_032,2023-04-30,Change of horizon,A3,West,0.0,Change of horizon for well WELL_032 on horizon A3
WELL_033,2023-09-18,Change of horizon,B1,East,0.0,Change of horizon for well WELL_033 on horizon B1
WELL_033,2024-08-05,Treatment of the near-well zone,B1,East,2.77,Treatment of the near-well zone for well WELL_033 on horizon B1
WELL_033,2023-06-13,Treatment of the near-well zone,B1,East,2.64,Treatment of the near-well zone for well WELL_033 on horizon B1
WELL_034,2024-09-24,Workover,B2,Central,1.98,Workover for well WELL_034 on horizon B2
WELL_035,2025-02-04,Change of horizon,B3,North,0.0,Change of horizon for well WELL_035 on horizon B3
WELL_036,2023-07-18,Treatment of the near-well zone,C1,South,2.68,Treatment of the near-well zone for well WELL_036 on horizon C1
WELL_036,2023-04-20,Well intervention,C1,South,0.0,Well intervention for well WELL_036 on horizon C1
WELL_036,2024-11-16,Optimization,C1,South,0.0,Optimization for well WELL_036 on horizon C1
WELL_036,2023-04-09,Hydraulic fracturing,C1,South,1.53,Hydraulic fracturing for well WELL_036 on horizon C1
WELL_036,2023-08-10,Hydraulic fracturing,C1,South,2.56,Hydraulic fracturing for well WELL_036 on horizon C1
WELL_037,2023-12-14,Change of horizon,C2,West,0.0,Change of horizon for well WELL_037 on horizon C2
WELL_037,2025-03-16,Well intervention,C2,West,0.0,Well intervention for well WELL_037 on horizon C2
WELL_038,2024-10-22,Workover,D1,East,2.39,Workover for well WELL_038 on horizon D1
WELL_038,2025-03-21,Change of horizon,D1,East,0.0,Change of horizon for well WELL_038 on horizon D1
WELL_040,2023-02-11,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_040 on horizon A1
WELL_040,2023-04-28,Well intervention,A1,North,0.0,Well intervention for well WELL_040 on horizon A1
WELL_041,2024-02-27,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_041 on horizon A2
WELL_042,2024-11-25,Optimization,A3,West,0.0,Optimization for well WELL_042 on horizon A3
WELL_042,2024-11-24,Treatment of the near-well zone,A3,West,1.48,Treatment of the near-well zone for well WELL_042 on horizon A3
WELL_042,2023-04-19,Workover,A3,West,2.2,Workover for well WELL_042 on horizon A3
WELL_043,2023-10-23,Well intervention,B1,East,0.0,Well intervention for well WELL_043 on horizon B1
WELL_043,2024-09-03,Optimization,B1,East,0.0,Optimization for well WELL_043 on horizon B1
WELL_044,2023-12-12,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_044 on horizon B2
WELL_044,2024-05-12,Workover,B2,Central,2.74,Workover for well WELL_044 on horizon B2
WELL_044,2024-10-14,Treatment of the near-well zone,B2,Central,1.43,Treatment of the near-well zone for well WELL_044 on horizon B2
WELL_044,2023-10-12,Hydraulic fracturing,B2,Central,1.11,Hydraulic fracturing for well WELL_044 on horizon B2
WELL_046,2024-11-02,Treatment of the near-well zone,C1,South,1.15,Treatment of the near-well zone for well WELL_046 on horizon C1
WELL_046,2023-11-06,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_046 on horizon C1
WELL_046,2024-06-27,Well intervention,C1,South,0.0,Well intervention for well WELL_046 on horizon C1
WELL_047,2024-09-25,Workover,C2,West,2.07,Workover for well WELL_047 on horizon C2
WELL_047,2024-07-02,Pump replacement,C2,West,0.0,Pump replacement for well WELL_047 on horizon C2
WELL_047,2024-06-17,Optimization,C2,West,0.0,Optimization for well WELL_047 on horizon C2
WELL_048,2024-04-02,Treatment of the near-well zone,D1,East,2.54,Treatment of the near-well zone for well WELL_048 on horizon D1
WELL_048,2024-04-26,Well intervention,D1,East,0.0,Well intervention for well WELL_048 on horizon D1
WELL_048,2024-05-16,Pump replacement,D1,East,0.0,Pump replacement for well WELL_048 on horizon D1
WELL_048,2024-02-29,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_048 on horizon D1
WELL_049,2023-08-19,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_049 on horizon D2
WELL_049,2024-07-02,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_049 on horizon D2
WELL_050,2024-11-24,Change of horizon,A1,North,0.0,Change of horizon for well WELL_050 on horizon A1
WELL_050,2023-10-14,Workover,A1,North,2.33,Workover for well WELL_050 on horizon A1
WELL_051,2023-11-25,Well intervention,A2,South,0.0,Well intervention for well WELL_051 on horizon A2
WELL_052,2024-06-23,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_052 on horizon A3
WELL_052,2024-04-19,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_052 on horizon A3
WELL_053,2024-11-20,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_053 on horizon B1
WELL_053,2024-04-30,Change of horizon,B1,East,0.0,Change of horizon for well WELL_053 on horizon B1
WELL_053,2024-08-19,Workover,B1,East,1.72,Workover for well WELL_053 on horizon B1
WELL_053,2024-02-20,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_053 on horizon B1
WELL_053,2024-06-13,Well intervention,B1,East,0.0,Well intervention for well WELL_053 on horizon B1
WELL_054,2024-09-11,Well intervention,B2,Central,0.0,Well intervention for well WELL_054 on horizon B2
WELL_054,2025-03-18,Treatment of the near-well zone,B2,Central,1.59,Treatment of the near-well zone for well WELL_054 on horizon B2
WELL_055,2023-10-04,Workover,B3,North,2.59,Workover for well WELL_055 on horizon B3
WELL_055,2023-07-25,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_055 on horizon B3
WELL_056,2023-03-08,Treatment of the near-well zone,C1,South,2.82,Treatment of the near-well zone for well WELL_056 on horizon C1
WELL_056,2024-06-08,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_056 on horizon C1
WELL_056,2024-08-09,Well intervention,C1,South,0.0,Well intervention for well WELL_056 on horizon C1
WELL_056,2023-04-05,Hydraulic fracturing,C1,South,2.38,Hydraulic fracturing for well WELL_056 on horizon C1
WELL_056,2023-09-27,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_056 on horizon C1
WELL_057,2024-09-23,Well intervention,C2,West,0.0,Well intervention for well WELL_057 on horizon C2
WELL_057,2023-12-23,Hydraulic fracturing,C2,West,1.06,Hydraulic fracturing for well WELL_057 on horizon C2
WELL_060,2023-10-01,Pump replacement,A1,North,0.0,Pump replacement for well WELL_060 on horizon A1
WELL_061,2023-04-18,Hydraulic fracturing,A2,South,1.1,Hydraulic fracturing for well WELL_061 on horizon A2
WELL_061,2024-04-24,Treatment of the near-well zone,A2,South,2.53,Treatment of the near-well zone for well WELL_061 on horizon A2
WELL_062,2024-12-20,Workover,A3,West,1.82,Workover for well WELL_062 on horizon A3
WELL_062,2023-10-11,Optimization,A3,West,0.0,Optimization for well WELL_062 on horizon A3
WELL_062,2023-05-07,Hydraulic fracturing,A3,West,2.66,Hydraulic fracturing for well WELL_062 on horizon A3
WELL_062,2023-02-21,Well intervention,A3,West,0.0,Well intervention for well WELL_062 on horizon A3
WELL_063,2024-12-30,Well intervention,B1,East,0.0,Well intervention for well WELL_063 on horizon B1
WELL_063,2024-03-03,Optimization,B1,East,0.0,Optimization for well WELL_063 on horizon B1
WELL_063,2023-02-19,Well intervention,B1,East,0.0,Well intervention for well WELL_063 on horizon B1
WELL_064,2024-01-30,Hydraulic fracturing,B2,Central,2.61,Hydraulic fracturing for well WELL_064 on horizon B2
WELL_064,2024-11-17,Optimization,B2,Central,0.0,Optimization for well WELL_064 on horizon B2
WELL_065,2023-09-29,Optimization,B3,North,0.0,Optimization for well WELL_065 on horizon B3
WELL_065,2023-11-05,Treatment of the near-well zone,B3,North,1.4,Treatment of the near-well zone for well WELL_065 on horizon B3
WELL_065,2023-06-15,Hydraulic fracturing,B3,North,2.94,Hydraulic fracturing for well WELL_065 on horizon B3
WELL_065,2024-01-21,Treatment of the near-well zone,B3,North,1.59,Treatment of the near-well zone for well WELL_065 on horizon B3
WELL_067,2025-01-04,Change of horizon,C2,West,0.0,Change of horizon for well WELL_067 on horizon C2
WELL_067,2025-01-29,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_067 on horizon C2
WELL_068,2024-09-06,Hydraulic fracturing,D1,East,2.6,Hydraulic fracturing for well WELL_068 on horizon D1
WELL_068,2024-05-23,Pump replacement,D1,East,0.0,Pump replacement for well WELL_068 on horizon D1
WELL_069,2023-03-22,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_069 on horizon D2
WELL_071,2025-01-11,Treatment of the near-well zone,A2,South,2.68,Treatment of the near-well zone for well WELL_071 on horizon A2
WELL_071,2023-09-23,Change of horizon,A2,South,0.0,Change of horizon for well WELL_071 on horizon A2
WELL_071,2023-08-08,Pump replacement,A2,South,0.0,Pump replacement for well WELL_071 on horizon A2
WELL_071,2023-04-11,Workover,A2,South,1.4,Workover for well WELL_071 on horizon A2
WELL_071,2025-01-22,Treatment of the near-well zone,A2,South,1.58,Treatment of the near-well zone for well WELL_071 on horizon A2
WELL_072,2024-04-25,Pump replacement,A3,West,0.0,Pump replacement for well WELL_072 on horizon A3
WELL_072,2024-04-28,Workover,A3,West,2.6,Workover for well WELL_072 on horizon A3
WELL_072,2024-08-06,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_072 on horizon A3
WELL_073,2024-12-02,Change of horizon,B1,East,0.0,Change of horizon for well WELL_073 on horizon B1
WELL_073,2024-05-05,Treatment of the near-well zone,B1,East,1.88,Treatment of the near-well zone for well WELL_073 on horizon B1
WELL_073,2023-02-11,Hydraulic fracturing,B1,East,2.93,Hydraulic fracturing for well WELL_073 on horizon B1
WELL_073,2023-03-29,Hydraulic fracturing,B1,East,2.55,Hydraulic fracturing for well WELL_073 on horizon B1
WELL_073,2024-03-01,Optimization,B1,East,0.0,Optimization for well WELL_073 on horizon B1
WELL_074,2024-04-30,Optimization,B2,Central,0.0,Optimization for well WELL_074 on horizon B2
WELL_074,2024-11-03,Treatment of the near-well zone,B2,Central,1.92,Treatment of the near-well zone for well WELL_074 on horizon B2
WELL_074,2024-01-20,Workover,B2,Central,2.27,Workover for well WELL_074 on horizon B2
WELL_075,2023-02-21,Well intervention,B3,North,0.0,Well intervention for well WELL_075 on horizon B3
WELL_075,2023-03-07,Pump replacement,B3,North,0.0,Pump replacement for well WELL_075 on horizon B3
WELL_076,2023-07-03,Workover,C1,South,2.66,Workover for well WELL_076 on horizon C1
WELL_076,2024-10-17,Treatment of the near-well zone,C1,South,2.67,Treatment of the near-well zone for well WELL_076 on horizon C1
WELL_076,2024-05-09,Treatment of the near-well zone,C1,South,1.95,Treatment of the near-well zone for well WELL_076 on horizon C1
WELL_076,2023-05-20,Change of horizon,C1,South,0.0,Change of horizon for well WELL_076 on horizon C1
WELL_076,2025-03-05,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_076 on horizon C1
WELL_078,2023-03-17,Pump replacement,D1,East,0.0,Pump replacement for well WELL_078 on horizon D1
WELL_078,2024-09-13,Pump replacement,D1,East,0.0,Pump replacement for well WELL_078 on horizon D1
WELL_078,2023-05-22,Hydraulic fracturing,D1,East,2.37,Hydraulic fracturing for well WELL_078 on horizon D1
WELL_078,2024-08-22,Well intervention,D1,East,0.0,Well intervention for well WELL_078 on horizon D1
WELL_078,2023-09-04,Hydraulic fracturing,D1,East,1.72,Hydraulic fracturing for well WELL_078 on horizon D1
WELL_079,2024-04-14,Optimization,D2,Central,0.0,Optimization for well WELL_079 on horizon D2
WELL_080,2023-06-05,Well intervention,A1,North,0.0,Well intervention for well WELL_080 on horizon A1
WELL_080,2024-09-18,Pump replacement,A1,North,0.0,Pump replacement for well WELL_080 on horizon A1
WELL_080,2024-06-12,Workover,A1,North,1.11,Workover for well WELL_080 on horizon A1
WELL_080,2023-09-10,Pump replacement,A1,North,0.0,Pump replacement for well WELL_080 on horizon A1
WELL_081,2024-12-11,Hydraulic fracturing,A2,South,1.45,Hydraulic fracturing for well WELL_081 on horizon A2
WELL_081,2023-06-19,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_081 on horizon A2
WELL_081,2023-03-14,Change of horizon,A2,South,0.0,Change of horizon for well WELL_081 on horizon A2
WELL_081,2024-02-01,Optimization,A2,South,0.0,Optimization for well WELL_081 on horizon A2
WELL_081,2024-03-02,Treatment of the near-well zone,A2,South,2.54,Treatment of the near-well zone for well WELL_081 on horizon A2
WELL_082,2023-09-12,Well intervention,A3,West,0.0,Well intervention for well WELL_082 on horizon A3
WELL_083,2023-12-11,Change of horizon,B1,East,0.0,Change of horizon for well WELL_083 on horizon B1
WELL_083,2024-12-15,Treatment of the near-well zone,B1,East,2.46,Treatment of the near-well zone for well WELL_083 on horizon B1
WELL_083,2024-01-19,Pump replacement,B1,East,0.0,Pump replacement for well WELL_083 on horizon B1
WELL_083,2023-03-12,Workover,B1,East,2.79,Workover for well WELL_083 on horizon B1
WELL_083,2023-02-09,Workover,B1,East,2.53,Workover for well WELL_083 on horizon B1
WELL_084,2023-10-06,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_084 on horizon B2
WELL_084,2023-02-28,Optimization,B2,Central,0.0,Optimization for well WELL_084 on horizon B2
WELL_086,2023-06-22,Optimization,C1,South,0.0,Optimization for well WELL_086 on horizon C1
WELL_086,2023-09-02,Well intervention,C1,South,0.0,Well intervention for well WELL_086 on horizon C1
WELL_086,2024-01-27,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_086 on horizon C1
WELL_088,2024-03-15,Change of horizon,D1,East,0.0,Change of horizon for well WELL_088 on horizon D1
WELL_088,2024-06-29,Hydraulic fracturing,D1,East,2.18,Hydraulic fracturing for well WELL_088 on horizon D1
WELL_091,2023-08-06,Change of horizon,A2,South,0.0,Change of horizon for well WELL_091 on horizon A2
WELL_091,2024-12-05,Optimization,A2,South,0.0,Optimization for well WELL_091 on horizon A2
WELL_091,2024-03-29,Pump replacement,A2,South,0.0,Pump replacement for well WELL_091 on horizon A2
WELL_091,2024-10-04,Change of horizon,A2,South,0.0,Change of horizon for well WELL_091 on horizon A2
WELL_091,2023-07-24,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_091 on horizon A2
WELL_092,2023-12-06,Hydraulic fracturing,A3,West,2.23,Hydraulic fracturing for well WELL_092 on horizon A3
WELL_092,2023-07-10,Workover,A3,West,2.75,Workover for well WELL_092 on horizon A3
WELL_092,2023-08-04,Pump replacement,A3,West,0.0,Pump replacement for well WELL_092 on horizon A3
WELL_092,2023-03-09,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_092 on horizon A3
WELL_093,2024-07-27,Change of horizon,B1,East,0.0,Change of horizon for well WELL_093 on horizon B1
WELL_093,2025-02-06,Well intervention,B1,East,0.0,Well intervention for well WELL_093 on horizon B1
WELL_093,2023-03-30,Optimization,B1,East,0.0,Optimization for well WELL_093 on horizon B1
WELL_094,2023-07-23,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_094 on horizon B2
WELL_094,2024-11-13,Workover,B2,Central,1.71,Workover for well WELL_094 on horizon B2
WELL_094,2025-02-27,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_094 on horizon B2
WELL_095,2024-06-03,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_095 on horizon B3
WELL_096,2024-08-13,Change of horizon,C1,South,0.0,Change of horizon for well WELL_096 on horizon C1
WELL_097,2023-09-23,Optimization,C2,West,0.0,Optimization for well WELL_097 on horizon C2
WELL_097,2023-08-12,Change of horizon,C2,West,0.0,Change of horizon for well WELL_097 on horizon C2
WELL_097,2024-06-08,Pump replacement,C2,West,0.0,Pump replacement for well WELL_097 on horizon C2
WELL_097,2024-05-28,Pump replacement,C2,West,0.0,Pump replacement for well WELL_097 on horizon C2
WELL_097,2024-04-04,Pump replacement,C2,West,0.0,Pump replacement for well WELL_097 on horizon C2
WELL_098,2024-08-02,Optimization,D1,East,0.0,Optimization for well WELL_098 on horizon D1
WELL_098,2024-04-27,Pump replacement,D1,East,0.0,Pump replacement for well WELL_098 on horizon D1
WELL_098,2024-10-05,Hydraulic fracturing,D1,East,1.77,Hydraulic fracturing for well WELL_098 on horizon D1
WELL_098,2023-07-17,Treatment of the near-well zone,D1,East,1.31,Treatment of the near-well zone for well WELL_098 on horizon D1
WELL_098,2025-01-21,Workover,D1,East,2.86,Workover for well WELL_098 on horizon D1
WELL_100,2023-07-28,Pump replacement,A1,North,0.0,Pump replacement for well WELL_100 on horizon A1
WELL_100,2023-05-06,Treatment of the near-well zone,A1,North,2.62,Treatment of the near-well zone for well WELL_100 on horizon A1
WELL_101,2023-06-30,Change of horizon,A2,South,0.0,Change of horizon for well WELL_101 on horizon A2
WELL_101,2023-04-21,Change of horizon,A2,South,0.0,Change of horizon for well WELL_101 on horizon A2
WELL_102,2024-05-23,Change of horizon,A3,West,0.0,Change of horizon for well WELL_102 on horizon A3
WELL_102,2024-02-07,Pump replacement,A3,West,0.0,Pump replacement for well WELL_102 on horizon A3
WELL_102,2023-06-17,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_102 on horizon A3
WELL_103,2023-11-07,Well intervention,B1,East,0.0,Well intervention for well WELL_103 on horizon B1
WELL_104,2023-04-04,Optimization,B2,Central,0.0,Optimization for well WELL_104 on horizon B2
WELL_104,2024-11-24,Well intervention,B2,Central,0.0,Well intervention for well WELL_104 on horizon B2
WELL_105,2023-12-15,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_105 on horizon B3
WELL_105,2024-07-15,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_105 on horizon B3
WELL_106,2023-03-23,Treatment of the near-well zone,C1,South,2.77,Treatment of the near-well zone for well WELL_106 on horizon C1
WELL_107,2023-08-18,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_107 on horizon C2
WELL_107,2023-06-13,Well intervention,C2,West,0.0,Well intervention for well WELL_107 on horizon C2
WELL_108,2023-07-20,Change of horizon,D1,East,0.0,Change of horizon for well WELL_108 on horizon D1
WELL_108,2024-05-05,Change of horizon,D1,East,0.0,Change of horizon for well WELL_108 on horizon D1
WELL_109,2024-08-31,Hydraulic fracturing,D2,Central,2.22,Hydraulic fracturing for well WELL_109 on horizon D2
WELL_109,2023-06-23,Workover,D2,Central,2.57,Workover for well WELL_109 on horizon D2
WELL_109,2025-02-13,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_109 on horizon D2
WELL_111,2023-10-08,Workover,A2,South,2.61,Workover for well WELL_111 on horizon A2
WELL_112,2025-03-22,Workover,A3,West,2.53,Workover for well WELL_112 on horizon A3
WELL_113,2023-02-01,Workover,B1,East,1.76,Workover for well WELL_113 on horizon B1
WELL_113,2023-10-07,Pump replacement,B1,East,0.0,Pump replacement for well WELL_113 on horizon B1
WELL_114,2023-02-08,Hydraulic fracturing,B2,Central,1.14,Hydraulic fracturing for well WELL_114 on horizon B2
WELL_114,2023-11-27,Optimization,B2,Central,0.0,Optimization for well WELL_114 on horizon B2
WELL_114,2024-08-06,Optimization,B2,Central,0.0,Optimization for well WELL_114 on horizon B2
WELL_114,2024-12-23,Hydraulic fracturing,B2,Central,1.38,Hydraulic fracturing for well WELL_114 on horizon B2
WELL_114,2024-01-12,Well intervention,B2,Central,0.0,Well intervention for well WELL_114 on horizon B2
WELL_115,2024-10-24,Treatment of the near-well zone,B3,North,1.01,Treatment of the near-well zone for well WELL_115 on horizon B3
WELL_115,2023-10-12,Change of horizon,B3,North,0.0,Change of horizon for well WELL_115 on horizon B3
WELL_115,2024-07-31,Well intervention,B3,North,0.0,Well intervention for well WELL_115 on horizon B3
WELL_117,2024-09-26,Treatment of the near-well zone,C2,West,2.1,Treatment of the near-well zone for well WELL_117 on horizon C2
